36 86
0 1 1
0 5 1
0 4 1
1 4 1
1 5 1
4 5 1
4 11 1
4 10 1
5 10 1
5 11 1
10 11 1
10 16 1
10 17 1
11 16 1
11 17 1
16 17 1
16 22 1
16 23 1
17 22 1
17 23 1
22 23 1
22 26 1
22 27 1
23 24 1
23 27 1
23 26 1
23 25 1
24 27 1
24 25 1
18 24 1
18 25 1
18 19 1
12 13 1
12 18 1
12 19 1
6 12 1
6 7 1
6 13 1
7 13 1
7 12 1
13 18 1
13 19 1
19 24 1
19 25 1
25 27 1
3 9 1
3 8 1
2 3 1
2 8 1
2 9 1
8 9 1
8 14 1
8 15 1
9 14 1
9 15 1
14 15 1
14 21 1
14 20 1
15 21 1
15 20 1
20 26 1
20 22 1
20 21 1
21 22 1
21 26 1
26 27 1
26 28 1
26 29 1
27 28 1
27 29 1
28 29 1
28 30 1
28 31 1
29 30 1
29 31 1
30 31 1
30 32 1
30 33 1
31 32 1
31 33 1
32 33 1
32 35 1
32 34 1
33 34 1
33 35 1
34 35 1
